MapName	TabFileName
持国天王殿	ChiGuoTianWangDian.tab
持国天王殿_回忆录	ChiGuoTianWangDian_HuiYiLu.tab
春节天街灯市	ChunJieTianJieDengShi.tab
春明门	ChunMingMen.tab
纯阳	ChunYang.tab
村镇城表现NPC模版	CunZhenChengBiaoXianNPCMoBan.tab
大明宫	DaMingGong.tab
刀轮海厅	DaoLunHaiTing.tab
稻香村(副本)	DaoXiangCun(FuBen).tab
稻香秘事	DaoXiangMiShi.tab
大唐监狱	DaTangJianYu.tab
大衍盘丝洞	DaYanPanSiDong.tab
电影专用	DianYingZhuanYong.tab
荻花洞窟	DiHuaDongKu.tab
荻花宫	DiHuaGong.tab
荻花宫后山	DiHuaGongHouShan.tab
荻花圣殿	DiHuaShengDian.tab
低级光明顶秘道	DiJiGuangMingDingMiDao.tab
低级唐门密室	DiJiTangMenMiShi.tab
DLC单刷相关	DLCDanShuaXiangGuan.tab
动态阵法	DongTaiZhenFa.tab
洞天福地岛	DongTianFuDiDao.tab
动物世界	DongWuShiJie.tab
动物园	DongWuYuan.tab
毒神殿	DuShenDian.tab
恶人谷	ERenGu.tab
恶人谷敌对	ERenGuDiDui.tab
梵空禅院	FanKongChanYuan.tab
反外挂NPC	FanWaiGuaNPC.tab
范阳	FanYang.tab
范阳夜变	FanYangYeBian.tab
法王窟	FaWangKu.tab
法王窟表现补充	FaWangKuBiaoXianBuChong.tab
法王窟英雄	FaWangKuYingXiong.tab
非跟宠充值促销道具	FeiGenChongChongZhiCuXiaoDaoJu.tab
枫桦谷	FengHuaGu.tab
枫华谷和洛道野外boss	FengHuaGuHeLuoDaoYeWaiboss.tab
风雷刀谷_锻刀厅	FengLeiDaoGu_DuanDaoTing.tab
风雷刀谷_千雷殿	FengLeiDaoGu_QianLeiDian.tab
风雪稻香村	FengXueDaoXiangCun.tab
风雨稻香村(英雄)	FengYuDaoXiangCun(YingXiong).tab
副本重复任务	FuBenZhongFuRenWu.tab
浮丘岛	FuQiuDao.tab
丐帮	GaiBang.tab
干什么	GanShiMe.tab
高老庄	GaoLaoZhuang.tab
攻防载具	GongFangZaiJu.tab
功能通用NPC	GongNengTongYongNPC.tab
宫中神武遗迹	GongZhongShenWuYiJi.tab
光明顶秘道	GuangMingDingMiDao.tab
浩气盟敌对	HaoQiMengDiDui.tab
浩气盟功能	HaoQiMengGongNeng.tab
浩气盟友善	HaoQiMengYouShan.tab
黑戈壁	HeiGeBi.tab
黑龙沼敌对NPC	HeiLongZhaoDiDuiNPC.tab
黑龙沼动物表现	HeiLongZhaoDongWuBiaoXian.tab
黑龙沼剧情表现用NPC	HeiLongZhaoJuQingBiaoXianYongNPC.tab
黑龙沼PQ	HeiLongZhaoPQ.tab
黑龙沼生活技能NPC	HeiLongZhaoShengHuoJiNengNPC.tab
黑龙沼友善NPC	HeiLongZhaoYouShanNPC.tab
黑龙沼阵营NPC	HeiLongZhaoZhenYingNPC.tab
黑龙沼重点表现NPC	HeiLongZhaoZhongDianBiaoXianNPC.tab
红衣教模板	HongYiJiaoMoBan.tab
华清宫	HuaQingGong.tab
华清宫回忆录	HuaQingGongHuiYiLu.tab
回归新掌门	HuiGuiXinZhangMen.tab
会战唐门	HuiZhanTangMen.tab
活动	HuoDong.tab
活动通用NPC	HuoDongTongYongNPC.tab
剑胆琴心世界boss	JianDanQinXinShiJieboss.tab
江湖百态	JiangHuBaiTai.tab
剑三moba	JianSanmoba.tab
剑冢	JianZhong.tab
家园	JiaYuan.tab
节日	JieRi.tab
节日春节	JieRiChunJie.tab
节日冬至	JieRiDongZhi.tab
节日端午	JieRiDuanWu.tab
节日儿童节	JieRiErTongJie.tab
节日腊八	JieRiLaBa.tab
节日清明	JieRiQingMing.tab
节日七夕	JieRiQiXi.tab
节日元旦	JieRiYuanDan.tab
节日中秋	JieRiZhongQiu.tab
节日重阳	JieRiZhongYang.tab
节日中元	JieRiZhongYuan.tab
寂灭厅	JiMieTing.tab
技能	JiNeng.tab
镜泊湖	JingBoHu.tab
竞技场破坏	JingJiChangPoHuai.tab
经首道源岛	JingShouDaoYuanDao.tab
金水镇	JinShuiZhen.tab
集群刷马	JiQunShuaMa.tab
九辩馆	JiuBianGuan.tab
九宫棋谷	JiuGongQiGu.tab
九寨沟	JiuZhaiGou.tab
科举考试	KeJuKaoShi.tab
可乐可乐可乐还有芬达	KeLeKeLeKeLeHuanYouFenDa.tab
空雾峰	KongWuFeng.tab
寇岛	KouDao.tab
困龙岭	KunLongLing.tab
昆仑	KunLun.tab
鲲鹏岛	KunPengDao.tab
狼牙堡_辉天堑	LangYaBao_HuiTianQian.tab
狼牙堡_狼神殿	LangYaBao_LangShenDian.tab
狼牙堡_燕然峰	LangYaBao_YanRanFeng.tab
狼牙堡_战兽山	LangYaBao_ZhanShouShan.tab
冷香丘	LengXiangQiu.tab
连珠寨	LianZhuZhai.tab
灵霄峡	LingXiaoXia.tab
凌雪阁	LingXueGe.tab
凌雪阁_黄槲镇	LingXueGe_HuangHuZhen.tab
凌雪阁_玄鹤别院	LingXueGe_XuanHeBieYuan.tab
里世界	LiShiJie.tab
流离岛	LiuLiDao.tab
历战异闻录	LiZhanYiWenLu.tab
龙门荒漠	LongMenHuangMo.tab
龙泉府	LongQuanFu.tab
龙渊泽	LongYuanZe.tab
洛道	LuoDao.tab
洛道_李渡城	LuoDao_LiDuCheng.tab
洛阳	LuoYang.tab
洛阳城	LuoYangCheng.tab
洛阳城北	LuoYangChengBei.tab
满级玩家指引NPC	ManJiWanJiaZhiYinNPC.tab
马嵬驿	MaWeiYi.tab
美人图	MeiRenTu.tab
美人图活动	MeiRenTuHuoDong.tab
梦回稻香	MengHuiDaoXiang.tab
门派活动	MenPaiHuoDong.tab
明教	MingJiao.tab
迷仙引	MiXianYin.tab
迷渊岛	MiYuanDao.tab
墨家密殿	MoJiaMiDian.tab
南屏山	NanPingShan.tab
南诏皇宫	NanZhaoHuangGong.tab
南诏皇宫	NanZuoHuangGong.tab
泥兰洞天	NiLanDongTian.tab
npcqnpc	npcqnpc.tab
蓬莱	PengLai.tab
PQ BOSS	PQ BOSS.tab
普通雁门关之役	PuTongYanMenGuanZhiYi.tab
普通一线天	PuTongYiXianTian.tab
pvp服务器相关	pvpFuWuQiXiangGuan.tab
千岛湖	QianDaoHu.tab
蔷薇列岛	QiangWeiLieDao.tab
前线支援	QianXianZhiYuan.tab
秦皇陵	QinHuangLing.tab
齐物阁	QiWuGe.tab
七秀	QiXiu.tab
瞿塘峡	QuTangXia.tab
瞿塘峡表现NPC	QuTangXiaBiaoXianNPC.tab
瞿塘峡敌对	QuTangXiaDiDui.tab
日轮山城	RiLunShanCheng.tab
融天岭补充	RongTianLingBuChong.tab
融天岭功能npc	RongTianLingGongNengnpc.tab
融天岭怪物npc	RongTianLingGuaiWunpc.tab
融天岭接交任务npc	RongTianLingJieJiaoRenWunpc.tab
融天岭PQ	RongTianLingPQ.tab
融天岭任务表现npc	RongTianLingRenWuBiaoXiannpc.tab
融天岭阵法表现	RongTianLingZhenFaBiaoXian.tab
赛马活动	SaiMaHuoDong.tab
三国古战场	SanGuoGuZhanChang.tab
沙漠风暴	ShaMoFengBao.tab
商店	ShangDian.tab
商店NPC模板	ShangDianNPCMoBan.tab
上阳宫_观风殿	ShangYangGong_GuanFengDian.tab
上阳宫_双曜亭	ShangYangGong_ShuangYaoTing.tab
少林	ShaoLin.tab
社交系统	SheJiaoXiTong.tab
神策军模板	ShenCeJunMoBan.tab
生活技能模板	ShengHuoJiNengMoBan.tab
生活技艺	ShengHuoJiYi.tab
声望	ShengWang.tab
神农洇	ShenNongYin.tab
十二连环坞模板	ShiErLianHuanWuMoBan.tab
拭剑园	ShiJianYuan.tab
世界活动	ShiJieHuoDong.tab
世界奇遇	ShiJieQiYu.tab
世界任务	ShiJieRenWu.tab
试炼之境	ShiLianZhiJing.tab
师徒任务	ShiTuRenWu.tab
世外蓬莱世界BOSS	ShiWaiPengLaiShiJieBOSS.tab
守株围场_打猎	ShouZhuWeiChang_DaLie.tab
丝绸之路	SiChouZhiLu.tab
太原	TaiYuan.tab
太原之战_夜守孤城	TaiYuanZhiZhan_YeShouGuCheng.tab
太原之战_逐虎驱狼	TaiYuanZhiZhan_ZhuHuQuLang.tab
唐门	TangMen.tab
唐门脚本及表现用NPC	TangMenJiaoBenJiBiaoXianYongNPC.tab
唐门密室	TangMenMiShi.tab
特殊升级	TeShuShengJi.tab
特殊武器任务	TeShuWuQiRenWu.tab
天策	TianCe.tab
天策场景功能NPC	TianCeChangJingGongNengNPC.tab
天工坊	TianGongFang.tab
天泣林	TianQiLin.tab
天子峰	TianZiFeng.tab
挑战白帝水宫	TiaoZhanBaiDiShuiGong.tab
挑战冰火岛_荒血路	TiaoZhanBingHuoDao_HuangXueLu.tab
挑战冰火岛_青莲狱	TiaoZhanBingHuoDao_QingLianYu.tab
挑战璨翠海厅	TiaoZhanCanCuiHaiTing.tab
挑战尘归海_巨冥湾	TiaoZhanChenGuiHai_JuMingWan.tab
挑战尘归海_饕餮洞	TiaoZhanChenGuiHai_TaoTieDong.tab
挑战刀轮海厅	TiaoZhanDaoLunHaiTing.tab
挑战稻香秘事	TiaoZhanDaoXiangMiShi.tab
挑战鲲鹏岛_周天屿	TiaoZhanKunPengDao_ZhouTianYu.tab
挑战太原之战_夜守孤城	TiaoZhanTaiYuanZhiZhan_YeShouGuCheng.tab
挑战太原之战_逐虎驱狼	TiaoZhanTaiYuanZhiZhan_ZhuHuQuLang.tab
挑战夕颜阁	TiaoZhanXiYanGe.tab
挑战银雾湖	TiaoZhanYinWuHu.tab
提交单测试内容	TiJiaoDanCeShiNeiRong.tab
挖宝	WaBao.tab
万宝楼	WanBaoLou.tab
万花谷	WanHuaGu.tab
万花脚本功能NPC	WanHuaJiaoBenGongNengNPC.tab
万甲园	WanJiaYuan.tab
微山书院	WeiShanShuYuan.tab
五毒	WuDu.tab
五毒脚本任务表现NPC	WuDuJiaoBenRenWuBiaoXianNPC.tab
五毒资料片PQ	WuDuZiLiaoPianPQ.tab
无量宫	WuLiangGong.tab
无量山	WuLiangShan.tab
无量山纯表现	WuLiangShanChunBiaoXian.tab
无量山动物表现	WuLiangShanDongWuBiaoXian.tab
无量山怪物npc	WuLiangShanGuaiWunpc.tab
无量山花山节	WuLiangShanHuaShanJie.tab
无量山接交任务npc	WuLiangShanJieJiaoRenWunpc.tab
无量山PQ	WuLiangShanPQ.tab
无量山任务表现npc	WuLiangShanRenWuBiaoXiannpc.tab
五台山	WuTaiShan.tab
无盐岛	WuYanDao.tab
侠客岛	XiaKeDao.tab
陷空坳	XianKongAo.tab
仙踪林	XianZongLin.tab
小仙踪林	XiaoXianZongLin.tab
侠影稻香	XiaYingDaoXiang.tab
新试炼之地	XinShiLianZhiDi.tab
新手村	XinShouCun.tab
夕颜阁	XiYanGe.tab
血战天策	XueZhanTianCe.tab
寻宝系统	XunBaoXiTong.tab
驯养系统宠物NPC跟随	XunYangXiTongChongWuNPCGenSui.tab
驯养系统宠物NPC预览补充	XunYangXiTongChongWuNPCYuLanBuChong.tab
驯养系统宠物NPC召唤	XunYangXiTongChongWuNPCZhaoHuan.tab
驯养系统宠物任务NPC	XunYangXiTongChongWuRenWuNPC.tab
驯养系统NPC表现	XunYangXiTongNPCBiaoXian.tab
驯养系统NPC事件	XunYangXiTongNPCShiJian.tab
驯养系统NPC野外	XunYangXiTongNPCYeWai.tab
驯养系统NPC召唤	XunYangXiTongNPCZhaoHuan.tab
扬州	YangZhou.tab
扬州城	YangZhouCheng.tab
雁门关之役	YanMenGuanZhiYi.tab
邀星坪	YaoXingPing.tab
野狸岛	YeLiDao.tab
野外场景日常boss	YeWaiChangJingRiChangboss.tab
一刀流模板	YiDaoLiuMoBan.tab
英雄北邙山三才阵	YingXiongBeiMangShanSanCaiZhen.tab
英雄冰火岛_荒血路	YingXiongBingHuoDao_HuangXueLu.tab
英雄冰火岛_青莲狱	YingXiongBingHuoDao_QingLianYu.tab
英雄尘归海_巨冥湾	YingXiongChenGuiHai_JuMingWan.tab
英雄尘归海_饕餮洞	YingXiongChenGuiHai_TaoTieDong.tab
英雄持国回忆录	YingXiongChiGuoHuiYiLu.tab
英雄持国天王殿	YingXiongChiGuoTianWangDian.tab
英雄持国天王殿回忆录	YingXiongChiGuoTianWangDianHuiYiLu.tab
英雄大明宫	YingXiongDaMingGong.tab
英雄稻香秘事	YingXiongDaoXiangMiShi.tab
英雄大衍盘丝洞	YingXiongDaYanPanSiDong.tab
英雄荻花洞窟	YingXiongDiHuaDongKu.tab
英雄荻花宫后山	YingXiongDiHuaGongHouShan.tab
英雄荻花宫前山	YingXiongDiHuaGongQianShan.tab
英雄毒神殿	YingXiongDuShenDian.tab
英雄梵空禅院	YingXiongFanKongChanYuan.tab
英雄风雷刀谷_锻刀厅	YingXiongFengLeiDaoGu_DuanDaoTing.tab
英雄风雷刀谷_千雷殿	YingXiongFengLeiDaoGu_QianLeiDian.tab
英雄风雪稻香村	YingXiongFengXueDaoXiangCun.tab
英雄宫中神武遗迹	YingXiongGongZhongShenWuYiJi.tab
英雄华清宫	YingXiongHuaQingGong.tab
英雄剑冢	YingXiongJianZhong.tab
英雄寂灭厅	YingXiongJiMieTing.tab
英雄镜泊湖	YingXiongJingBoHu.tab
英雄空雾峰	YingXiongKongWuFeng.tab
英雄狼牙堡_辉天堑	YingXiongLangYaBao_HuiTianQian.tab
英雄狼牙堡_狼神殿	YingXiongLangYaBao_LangShenDian.tab
英雄狼牙堡_燕然峰	YingXiongLangYaBao_YanRanFeng.tab
英雄狼牙堡_战兽山	YingXiongLangYaBao_ZhanShouShan.tab
英雄灵霄峡	YingXiongLingXiaoXia.tab
英雄凌雪阁_玄鹤别院	YingXiongLingXueGe_XuanHeBieYuan.tab
英雄流离岛	YingXiongLiuLiDao.tab
英雄龙渊泽	YingXiongLongYuanZe.tab
英雄迷渊岛	YingXiongMiYuanDao.tab
英雄南诏皇宫	YingXiongNanZhaoHuangGong.tab
英雄泥兰洞天	YingXiongNiLanDongTian.tab
英雄蓬莱_九辩馆	YingXiongPengLai_JiuBianGuan.tab
英雄秦皇陵	YingXiongQinHuangLing.tab
英雄日轮山城	YingXiongRiLunShanCheng.tab
英雄上阳宫_观风殿	YingXiongShangYangGong_GuanFengDian.tab
英雄上阳宫_双曜亭	YingXiongShangYangGong_ShuangYaoTing.tab
英雄太原之战_夜守孤城	YingXiongTaiYuanZhiZhan_YeShouGuCheng.tab
英雄太原之战_逐虎驱狼	YingXiongTaiYuanZhiZhan_ZhuHuQuLang.tab
英雄天工坊	YingXiongTianGongFang.tab
英雄天泣林	YingXiongTianQiLin.tab
英雄天子峰	YingXiongTianZiFeng.tab
英雄微山书院	YingXiongWeiShanShuYuan.tab
英雄无量宫	YingXiongWuLiangGong.tab
英雄无盐岛	YingXiongWuYanDao.tab
英雄仙踪林	YingXiongXianZongLin.tab
英雄夕颜阁	YingXiongXiYanGe.tab
英雄血战天策	YingXiongXueZhanTianCe.tab
英雄阴山圣泉	YingXiongYinShanShengQuan.tab
英雄引仙水榭	YingXiongYinXianShuiXie.tab
英雄一线天	YingXiongYiXianTian.tab
英雄永王行宫_花月别院	YingXiongYongWangXingGong_HuaYueBieYuan.tab
英雄永王行宫_仙侣庭园	YingXiongYongWangXingGong_XianLvTingYuan.tab
英雄战宝迦兰	YingXiongZhanBaoJiaLan.tab
英雄战宝军械库	YingXiongZhanBaoJunXieKu.tab
英雄珍珑棋谷	YingXiongZhenLongQiGu.tab
阴山大草原	YinShanDaCaoYuan.tab
阴山圣泉	YinShanShengQuan.tab
银雾湖	YinWuHu.tab
引仙水榭	YinXianShuiXie.tab
隐元追缉令	YinYuanZhuiJiLing.tab
永王行宫_花月别院	YongWangXingGong_HuaYueBieYuan.tab
永王行宫_仙侣庭园	YongWangXingGong_XianLvTingYuan.tab
云湖天池	YunHuTianChi.tab
载具	ZaiJu.tab
战宝迦兰	ZhanBaoJiaLan.tab
战宝迦兰任务	ZhanBaoJiaLanRenWu.tab
战宝军械库	ZhanBaoJunXieKu.tab
战斗通用NPC(大量)	ZhanDouTongYongNPC(DaLiang).tab
阵营攻防战改造	ZhenYingGongFangZhanGaiZao.tab
阵营活动首领	ZhenYingHuoDongShouLing.tab
阵营无监视首领	ZhenYingWuJianShiShouLing.tab
直城门	ZhiChengMen.tab
鲲鹏岛_周天屿	ZhouTianYu.tab
装备洗炼	ZhuangBeiXiLian.tab
状态机	ZhuangTaiJi.tab
主城茶馆	ZhuChengChaGuan.tab
主城木桩	ZhuChengMuZhuang.tab
烛龙殿10人	ZhuLongDian10Ren.tab
烛龙殿表现	ZhuLongDianBiaoXian.tab
逐鹿中原	ZhuLuZhongYuan.tab
_默认值	_MoRenZhi.tab
